"attached agenda items","color","date","End time","event description","full day","has topic"
"","#5096ff","Dec 31, 2026 5:00 pm","Jan 1, 2027 4:59 pm","","yes","yes"
"","#5096ff","Dec 31, 2026 10:00 am","Jan 1, 2027 9:59 am","","yes","yes"
"1729035539198x585049512267219000 , 1747345040276x808124814714470400","#00c672","Mar 5, 2026 12:00 pm","Mar 5, 2026 1:00 pm","","no","yes"
"1728084530268x889289477817892900","#00c672","Feb 19, 2026 3:00 pm","Feb 19, 2026 4:00 pm","","no","yes"
"1729035539198x585049512267219000","#00c672","Mar 2, 2026 3:00 pm","Mar 2, 2026 4:30 pm","","no","yes"
"","#00c672","Mar 21, 2026 11:00 am","Mar 21, 2026 7:30 pm","","no","no"
"","#00c672","Mar 22, 2026 11:00 am","Mar 22, 2026 1:00 pm","","no","no"
"","#00c672","Mar 22, 2026 4:30 pm","Mar 22, 2026 5:30 pm","","no","no"
"","#00c672","Mar 23, 2026 11:30 am","Mar 23, 2026 1:30 pm","","no","no"
"","#00c672","Mar 23, 2026 2:30 pm","Mar 23, 2026 3:30 pm","","no","no"
"","#00c672","Mar 23, 2026 5:15 pm","Mar 23, 2026 6:15 pm","","no","no"
"","#00c672","Mar 24, 2026 11:00 am","Mar 24, 2026 12:00 pm","","no","no"
"","#00c672","Mar 24, 2026 12:00 pm","Mar 24, 2026 1:00 pm","","no","no"
"","#00c672","Mar 24, 2026 4:00 pm","Mar 24, 2026 5:00 pm","","no","no"
"","#00c672","Mar 25, 2026 11:00 am","Mar 25, 2026 12:00 pm","","no","no"
"","#00c672","Mar 23, 2026 5:15 pm","Mar 23, 2026 6:15 pm","","no","no"
"","#00c672","Mar 23, 2026 1:30 pm","Mar 23, 2026 2:30 pm","","no","no"
"","#00c672","Feb 26, 2026 2:00 pm","Feb 26, 2026 3:00 pm","","no","no"
"","#00c672","Mar 5, 2026 2:00 pm","Mar 5, 2026 3:00 pm","","no","no"
"","#00c672","Mar 12, 2026 2:00 pm","Mar 12, 2026 3:00 pm","","no","no"
"","#00c672","Feb 20, 2026 12:00 pm","Feb 20, 2026 1:00 pm","","no","no"
"","#00c672","May 28, 2026 12:00 pm","May 28, 2026 1:00 pm","","no","no"
"","#00c672","Mar 2, 2026 2:00 pm","Mar 2, 2026 3:00 pm","","no","yes"
"","#00c672","Mar 5, 2026 12:00 pm","Mar 5, 2026 1:00 pm","","no","no"
"","#00c672","Feb 20, 2026 12:00 pm","Feb 20, 2026 1:00 pm","","no","no"
